game_id,var,value
ANA200105310,pitches,pitches
ANA200105310,oscorer,munse701
ANA200105310,temp,68
ANA200105310,winddir,ltor
ANA200105310,windspeed,4
ANA200105310,fieldcond,unknown
ANA200105310,precip,unknown
ANA200105310,sky,sunny
ANA200105310,timeofgame,256
ANA200105310,attendance,15159
ANA200105310,wp,webeb001
ANA200105310,lp,carrh001
ANA200105310,save,
ANA200105310,hometeam_score,4
ANA200105310,awayteam_score,4
ANA200106010,visteam,KCA
ANA200106010,hometeam,ANA
ANA200106010,site,ANA01
ANA200106010,date,6/1/01
ANA200106010,number,0
ANA200106010,starttime,7:08PM
ANA200106010,daynight,night
ANA200106010,usedh,TRUE
ANA200106010,umphome,drakr901
ANA200106010,ump1b,shulj901
ANA200106010,ump2b,everm901
ANA200106010,ump3b,roe-r901
ANA200106010,howscored,park
ANA200106010,pitches,pitches
ANA200106010,oscorer,munse701
ANA200106010,temp,68
ANA200106010,winddir,ltor
ANA200106010,windspeed,3
ANA200106010,fieldcond,unknown
ANA200106010,precip,unknown
ANA200106010,sky,overcast
ANA200106010,timeofgame,164
ANA200106010,attendance,30783
ANA200106010,wp,valdi001
ANA200106010,lp,suppj001
ANA200106010,save,
ANA200106010,hometeam_score,7
ANA200106010,awayteam_score,1
ANA200106020,visteam,KCA
ANA200106020,hometeam,ANA
ANA200106020,site,ANA01
ANA200106020,date,6/2/01
ANA200106020,number,0
ANA200106020,starttime,7:08PM
ANA200106020,daynight,night
ANA200106020,usedh,TRUE
ANA200106020,umphome,shulj901
ANA200106020,ump1b,everm901
ANA200106020,ump2b,roe-r901
ANA200106020,ump3b,drakr901
ANA200106020,howscored,park
ANA200106020,pitches,pitches
ANA200106020,oscorer,munse701
ANA200106020,temp,68
ANA200106020,winddir,ltor
ANA200106020,windspeed,7
ANA200106020,fieldcond,unknown
ANA200106020,precip,unknown
ANA200106020,sky,overcast
ANA200106020,timeofgame,152
ANA200106020,attendance,26469
ANA200106020,wp,schos001
ANA200106020,lp,durbc001
ANA200106020,save,perct001
ANA200106020,hometeam_score,3
ANA200106020,awayteam_score,2
ANA200106030,visteam,KCA
ANA200106030,hometeam,ANA
ANA200106030,site,ANA01
ANA200106030,date,6/3/01
ANA200106030,number,0
ANA200106030,starttime,1:09PM
ANA200106030,daynight,day
ANA200106030,usedh,TRUE
ANA200106030,umphome,everm901
ANA200106030,ump1b,roe-r901
ANA200106030,ump2b,drakr901
ANA200106030,ump3b,shulj901
ANA200106030,howscored,park
ANA200106030,pitches,pitches
ANA200106030,oscorer,munse701
ANA200106030,temp,69
ANA200106030,winddir,ltor
ANA200106030,windspeed,3
ANA200106030,fieldcond,unknown
ANA200106030,precip,unknown
ANA200106030,sky,cloudy
ANA200106030,timeofgame,159
ANA200106030,attendance,31810
ANA200106030,wp,ortir002
ANA200106030,lp,suzum001
